"filename", "language", "PHP", "CSS", "HTML", "JavaScript", "comment", "blank", "total"
"c:\OSPanel\domains\Konkurs\about.php", "PHP", 164, 0, 0, 0, 0, 8, 172
"c:\OSPanel\domains\Konkurs\addCompetition.php", "PHP", 293, 0, 0, 0, 7, 24, 324
"c:\OSPanel\domains\Konkurs\adminPageCompetitions.php", "PHP", 159, 0, 0, 0, 8, 16, 183
"c:\OSPanel\domains\Konkurs\adminPageWorks.php", "PHP", 158, 0, 0, 0, 3, 12, 173
"c:\OSPanel\domains\Konkurs\allCompetitions.php", "PHP", 231, 0, 0, 0, 1, 11, 243
"c:\OSPanel\domains\Konkurs\application.php", "PHP", 113, 0, 0, 0, 1, 12, 126
"c:\OSPanel\domains\Konkurs\assets\style.css", "CSS", 0, 22, 0, 0, 0, 1, 23
"c:\OSPanel\domains\Konkurs\competitionPages\competition1.php", "PHP", 190, 0, 0, 0, 0, 8, 198
"c:\OSPanel\domains\Konkurs\competitionPages\competition2.php", "PHP", 189, 0, 0, 0, 1, 6, 196
"c:\OSPanel\domains\Konkurs\competitionPages\competition3.php", "PHP", 188, 0, 0, 0, 1, 7, 196
"c:\OSPanel\domains\Konkurs\competitionPages\competition4.php", "PHP", 28, 0, 0, 0, 0, 0, 28
"c:\OSPanel\domains\Konkurs\database.php", "PHP", 9, 0, 0, 0, 0, 1, 10
"c:\OSPanel\domains\Konkurs\index.php", "PHP", 352, 0, 0, 0, 1, 22, 375
"c:\OSPanel\domains\Konkurs\public\logForm.php", "PHP", 55, 0, 0, 0, 0, 0, 55
"c:\OSPanel\domains\Konkurs\public\logout.php", "PHP", 4, 0, 0, 0, 0, 1, 5
"c:\OSPanel\domains\Konkurs\public\regForm.php", "PHP", 88, 0, 0, 0, 0, 6, 94
"c:\OSPanel\domains\Konkurs\scripts\main.js", "JavaScript", 0, 0, 0, 11, 4, 4, 19
"c:\OSPanel\domains\Konkurs\test.html", "HTML", 0, 0, 40, 0, 0, 3, 43
"c:\OSPanel\domains\Konkurs\updateCompetition.php", "PHP", 177, 0, 0, 0, 6, 12, 195
"Total", "-", 2398, 22, 40, 11, 33, 154, 2658
